Level,Rarity,Name,Traits,Size,Source
-1,Common,Mitflit,Fey; Gremlin,Small,Bestiary pg. 192
-1,Common,Nyktera,Fey; Sprite,Tiny,Bestiary 3 pg. 254
-1,Common,Three-Toed Sloth,Animal,Tiny,Bestiary 3 pg. 248
-1,Common,Sprite,Fey; Sprite,Tiny,Bestiary pg. 308
-1,Common,Pufferfish,Animal; Aquatic,Tiny,Bestiary 3 pg. 99
-1,Common,Yellow Musk Thrall,Mindless; Plant,Medium,Bestiary 2 pg. 301 2.0
-1,Common,Bolar Of Stonemoor,Dwarf; Humanoid,Medium,Pathfinder #157: Devil at the Dreaming Palace pg. 8
-1,Uncommon,Zombie Hound,Mindless; Uncommon; Undead; Zombie,Small,Pathfinder #181: Zombie Feast pg. 16
-1,Common,Zombie Shambler,Mindless; Undead; Zombie,Medium,Bestiary pg. 340
-1,Common,Skeleton Guard,Mindless; Skeleton; Undead,Medium,Bestiary pg. 298
-1,Common,Predatory Rabbit,Undead,Tiny,Book of the Dead pg. 142
-1,Common,Severed Head,Mindless; Undead,Tiny,Bestiary 3 pg. 30
-1,Common,Crawling Hand,Undead,Tiny,Bestiary 2 pg. 56 2.0
0,Common,Air Wisp,Air; Elemental,Tiny,Bestiary 3 pg. 90
0,Uncommon,Clockwork Hunter,Clockwork; Construct; Mindless; Uncommon,Small,Pathfinder #178: Punks in a Powderkeg pg. 82
0,Common,Spear Frog,Animal,Tiny,Bestiary 2 pg. 121 2.0
0,Common,Spider Swarm,Animal; Swarm,Large,Bestiary pg. 306
0,Uncommon,Powderkeg Punk Gunner,Humanoid; Uncommon,Medium,Pathfinder #178: Punks in a Powderkeg pg. 39
0,Common,Vine Leshy,Leshy; Plant,Small,Bestiary 3 pg. 160
0,Common,Grindylow,Aberration; Amphibious,Small,Bestiary 2 pg. 138 2.0
0,Common,Ioton,Astral; Incorporeal,Tiny,Bestiary 3 pg. 92
0,Common,Azarketi Crab Catcher,Amphibious; Azarketi; Humanoid,Medium,"Absalom, City of Lost Omens pg. 396"
0,Common,Badger,Animal,Small,Bestiary 2 pg. 32 2.0
0,Common,Blue-Ringed Octopus,Animal; Aquatic,Tiny,Bestiary 2 pg. 187 2.0
0,Uncommon,Burning Mammoth Hunters,Human; Humanoid; Uncommon,Medium,Pathfinder #175: Broken Tusk Moon pg. 17
0,Common,Dream Spider,Animal,Small,Bestiary 2 pg. 249 2.0
0,Common,Earth Wisp,Earth; Elemental,Tiny,Bestiary 3 pg. 90
0,Common,Leaf Leshy,Leshy; Plant,Small,Bestiary pg. 218
0,Rare,Oaksteward Enforcer,Human; Humanoid; Rare,Medium,Pathfinder #187: The Seventh Arch pg. 14
0,Common,Orc Brute,Humanoid; Orc,Medium,Bestiary pg. 256
0,Common,Pygmy Kaava,Humanoid,Small,The Mwangi Expanse pg. 300 2.0
0,Common,Ringhorn Ram,Animal,Medium,Bestiary 3 pg. 212
0,Common,Sea Snake,Animal,Small,Bestiary 2 pg. 245 2.0
0,Rare,Sicklehand Construct,Construct; Mindless; Rare,Medium,Pathfinder #169: Kindled Magic pg. 41
0,Uncommon,Spellskein,Construct; Uncommon,Tiny,Pathfinder #169: Kindled Magic pg. 85
0,Common,Stingray,Animal; Aquatic,Medium,Bestiary 2 pg. 2262.0
0,Common,Torchbearer,Human; Humanoid,Medium,Gamemastery Guide pg. 216
0,Common,Vampire Squid,Animal; Aquatic,Small,Bestiary 2 pg. 2542.0
0,Common,Vine Lasher,Plant,Small,The Fall of Plaguestone pg. 62
0,Common,Baccali Alpaca,Animal,Medium,Travel Guide pg. 99
0,Common,Bottlenose Dolphin,Animal,Medium,Bestiary 2 pg. 842.0
0,Common,Duergar Sharpshooter,Duergar; Dwarf; Humanoid,Medium,Bestiary pg. 138
0,Common,Giant Worker Bee,Animal,Medium,Pathfinder #169: Kindled Magic pg. 80
0,Uncommon,Groplit,Amphibious; Animal; Uncommon,Small,Pathfinder #175: Broken Tusk Moon pg. 83
0,Common,Juvenile Boar,Animal,Small,Pathfinder #151: The Show Must Go On pg. 20
0,Uncommon,Kobold Tunnelrunner,Humanoid; Kobold; Uncommon,Small,Pathfinder Encounter: Heaving Kobolds pg. 0
0,Common,Riding Pony,Animal,Medium,Bestiary pg. 209
0,Rare,Shoony Tiller,Humanoid; Rare; Shoony,Small,Pathfinder #153: Life's Long Shadows pg. 82
0,Uncommon,Stag Lord Bandit,Human; Humanoid; Uncommon,Medium,Kingmaker Adventure Path pg. 177
0,Uncommon,Thylacine,Animal; Uncommon,Small,Kingmaker Adventure Path pg. 609
0,Common,Whalesteed,Animal,Large,Travel Guide pg. 99
0,Uncommon,Giant Silverfish,Animal; Uncommon,Small,Pathfinder #169: Kindled Magic pg. 84
0,Unique,Happs Bydon,Human; Humanoid; Unique,Medium,Kingmaker Adventure Path pg. 167
0,Common,Homunculus,Construct,Tiny,Bestiary pg. 208
0,Common,Melixie,Fey; Sprite,Tiny,Bestiary 3 pg. 254
0,Common,Pugwampi,Fey; Gremlin,Tiny,Bestiary pg. 193
0,Common,Fire Wisp,Elemental; Fire,Tiny,Bestiary 3 pg. 91
0,Common,Giant Maggot,Animal,Medium,Bestiary 2 pg. 1202.0
0,Common,Kangaroo,Animal,Medium,Bestiary 3 pg. 146
0,Uncommon,Scrit,Fey; Gremlin; Uncommon,Tiny,Pathfinder #169: Kindled Magic pg. 82
0,Rare,Ardissa's Porters,Dwarf; Humanoid; Rare,Medium,Pathfinder #175: Broken Tusk Moon pg. 39
0,Uncommon,Bone Shard Toughs,Human; Humanoid; Uncommon,Medium,Pathfinder #181: Zombie Feast pg. 35
0,Common,Dockhand,Human; Humanoid,Medium,Gamemastery Guide pg. 222
0,Common,Eunice,Human; Humanoid,Medium,Pathfinder #157: Devil at the Dreaming Palace pg. 12
0,Common,Farmer,Human; Humanoid,Medium,Gamemastery Guide pg. 222
0,Common,Lemure,Devil; Fiend; Mindless,Medium,Bestiary pg. 86
0,Common,Logger,Human; Humanoid,Medium,Kingmaker Adventure Path pg. 71
0,Common,Miner,Human; Humanoid,Medium,Gamemastery Guide pg. 223
0,Uncommon,Necromunculus,Uncommon; Undead,Tiny,Pathfinder #181: Zombie Feast pg. 86
0,Common,Water Wisp,Elemental; Water,Tiny,Bestiary 3 pg. 91
0,Common,Wolf Skeleton,Mindless; Skeleton; Undead,Medium,Book of the Dead pg. 147
0,Common,Mummified Cat,Mummy; Undead,Tiny,Book of the Dead pg. 130
0,Common,Zombie Snake,Mindless; Undead; Zombie,Medium,Book of the Dead pg. 170
1,Common,Vampire Bat Swarm,Animal; Swarm,Large,Bestiary pg. 39
1,Common,Animated Silverware Swarm,Construct; Mindless; Swarm,Large,Bestiary 3 pg. 18
1,Common,Augur,Fiend; Velstrac,Tiny,"Bestiary 2 pg. 2802.0 , Pathfinder #147: Tomorrow Must Burn pg. 82"
1,Common,Cunning Guide,Beast; Incorporeal; Spirit,Small,Bestiary 3 pg. 252
1,Uncommon,Cythnigot,Fiend; Qlippoth; Uncommon,Tiny,Bestiary 2 pg. 2122.0
1,Uncommon,Gathlain Wanderer,Fey; Plant; Uncommon,Small,Bestiary 3 pg. 105
1,Uncommon,Raktavarna,Fiend; Rakshasa; Uncommon,Tiny,Bestiary 3 pg. 210
1,Common,Rat Swarm,Animal; Swarm,Large,Bestiary pg. 276
1,Rare,Akata,Aberration; Rare,Medium,Bestiary 2 pg. 132.0
1,Common,Goblin Pyro,Goblin; Humanoid,Small,Bestiary pg. 181
1,Common,Imp,Devil; Fiend,Tiny,Bestiary pg. 87
1,Unique,Linzi (Level 1),Halfling; Humanoid; Unique,Small,Kingmaker Companion Guide pg. 45
1,Unique,Muruwa,Grippli; Humanoid; Unique,Medium,Threshold of Knowledge pg. 13
1,Common,Undine Hydromancer,Amphibious; Human; Humanoid; Undine,Medium,Bestiary 2 pg. 2032.0
1,Unique,Zane Ikundi,Half-Orc; Human; Humanoid; Orc; Unique,Medium,Threshold of Knowledge pg. 15
1,Uncommon,Acolyte Of Pharasma,Human; Humanoid; Uncommon,Medium,Shadows at Sundown pg. 35
1,Common,Acolyte of Nethys,Human; Humanoid,Medium,Gamemastery Guide pg. 212
1,Uncommon,Clockwork Handler,Clockwork; Construct; Mindless; Uncommon,Medium,Pathfinder #178: Punks in a Powderkeg pg. 83
1,Unique,Ekene,Elf; Humanoid; Unique,Medium,Threshold of Knowledge pg. 11
1,Common,Esipil,Fiend; Sahkil,Tiny,Bestiary 3 pg. 218
1,Common,Goblin War Chanter,Goblin; Humanoid,Small,Bestiary pg. 181
1,Uncommon,Grioth Scout,Grioth; Humanoid; Uncommon,Medium,Bestiary 3 pg. 122
1,Common,House Drake,Dragon,Tiny,Bestiary 3 pg. 135
1,Common,Hunting Spider,Animal,Medium,Bestiary pg. 306
1,Common,Kobold Scout,Humanoid; Kobold,Small,Bestiary pg. 213
1,Uncommon,Phalanx Of Phalanges,Construct; Mindless; Swarm; Uncommon,Large,Pathfinder #181: Zombie Feast pg. 83
1,Uncommon,Powderkeg Punk Bombardier,Humanoid; Uncommon,Medium,Pathfinder #178: Punks in a Powderkeg pg. 38
1,Common,Samsaran Anchorite,Humanoid; Samsaran,Medium,Bestiary 3 pg. 224
1,Common,Squirrel Swarm,Animal; Swarm,Large,Bestiary 3 pg. 257
1,Common,Suli Dune Dancer,Human; Humanoid; Suli,Medium,Bestiary 2 pg. 2022.0
1,Uncommon,Vanara Disciple,Humanoid; Uncommon; Vanara,Medium,Bestiary 3 pg. 286
1,Rare,Wyrwood Sneak,Construct; Rare; Wyrwood,Small,Bestiary 3 pg. 298
1,Common,Flumph,Aberration,Small,Bestiary 3 pg. 100
1,Common,Goblin Dog,Animal,Medium,Bestiary pg. 182
1,Common,Lizardfolk Scout,Humanoid; Lizardfolk,Medium,Bestiary pg. 231
1,Unique,Nok-Nok (Level 1),Goblin; Humanoid; Unique,Small,Kingmaker Companion Guide pg. 57
1,Common,Prisoner,Human; Humanoid,Medium,Gamemastery Guide pg. 215
1,Common,Reefclaw,Aberration; Aquatic,Small,Bestiary pg. 279
1,Common,Sylph Sneak,Human; Humanoid; Sylph,Medium,Bestiary 2 pg. 2022.0
1,Unique,Ufi,Human; Humanoid; Unique,Medium,Threshold of Knowledge pg. 14
1,Common,Charau-ka,Charau-ka; Humanoid,Small,Pathfinder #145: Hellknight Hill pg. 37
1,Common,Deep Gnome Scout,Gnome; Humanoid,Small,Bestiary pg. 74
1,Common,Drow Fighter,Drow; Elf; Humanoid,Medium,Bestiary pg. 136
1,Common,Electric Eel,Animal; Aquatic,Small,Bestiary pg. 142
1,Common,Fetchling Scout,Fetchling; Humanoid; Shadow,Medium,Bestiary 2 pg. 1172.0
1,Common,Fuath,Amphibious; Fey; Gremlin,Tiny,Bestiary 3 pg. 121
1,Common,Goblin Commando,Goblin; Humanoid,Small,Bestiary pg. 180
1,Common,Grave Robber,Human; Humanoid,Medium,Gamemastery Guide pg. 208
1,Common,Ifrit Pyrochemist,Human; Humanoid; Ifrit,Medium,Bestiary 2 pg. 2002.0
1,Unique,Jubilost Narthropple (Level 1),Fey; Gnome; Humanoid; Unique,Small,Kingmaker Companion Guide pg. 33
1,Common,Nosoi,Monitor; Psychopomp,Tiny,Bestiary pg. 270
1,Unique,Tristian (Level 1),Aasimar; Human; Humanoid; Unique,Medium,Kingmaker Companion Guide pg. 69
1,Common,Biloko Warrior,Fey,Small,"The Mwangi Expanse pg. 2942.0 , Pathfinder #146: Cult of Cinders pg. 82"
1,Common,Bloody Blade Mercenary,Half-Orc; Human; Humanoid; Orc,Medium,Pathfinder #145: Hellknight Hill pg. 50
1,Common,Catfolk Pouncer,Catfolk; Humanoid,Medium,Bestiary pg. 54
1,Common,Jinkin,Fey; Gremlin,Tiny,Bestiary pg. 193
1,Common,Merfolk Warrior,Aquatic; Humanoid; Merfolk,Medium,Bestiary pg. 235
1,Rare,Stheno Harpist,Humanoid; Rare; Stheno,Medium,Bestiary 3 pg. 258
1,Uncommon,Wayang Whisperblade,Humanoid; Shadow; Uncommon; Wayang,Small,Bestiary 3 pg. 290
1,Uncommon,Almiraj,Beast; Uncommon,Small,Pathfinder #157: Devil at the Dreaming Palace pg. 16
1,Uncommon,Anadi Seeker,Anadi; Humanoid; Uncommon,Medium,Pathfinder #169: Kindled Magic pg. 78
1,Common,Ball Python,Animal,Medium,Bestiary pg. 302
1,Uncommon,Burning Mammoth Longshield,Human; Humanoid; Uncommon,Medium,Pathfinder #175: Broken Tusk Moon pg. 25
1,Common,Camel,Animal,Large,Bestiary 3 pg. 43
1,Rare,Carbuncle,Beast; Rare,Tiny,Bestiary 2 pg. 472.0
1,Common,Cassisian,Angel; Celestial,Tiny,Bestiary pg. 16
1,Common,Cave Scorpion,Animal,Medium,Bestiary 2 pg. 2342.0
1,Common,Charau-ka Warrior,Charau-ka; Humanoid,Small,"The Mwangi Expanse pg. 2962.0 , Pathfinder #146: Cult of Cinders pg. 84"
1,Common,Coral Capuchin,Amphibious; Beast,Tiny,Bestiary 3 pg. 54
1,Common,Cultist,Human; Humanoid,Medium,Gamemastery Guide pg. 229
1,Common,Dancer,Human; Humanoid,Medium,Gamemastery Guide pg. 236
1,Uncommon,Darkmantle,Beast; Uncommon,Small,Crown of the Kobold King pg. 118
1,Common,Doru,Div; Fiend,Tiny,Bestiary 3 pg. 68
1,Common,Duergar Bombardier,Duergar; Dwarf; Humanoid,Medium,Bestiary pg. 139
1,Common,Elk,Animal,Medium,"Kingmaker Adventure Path pg. 608, Pathfinder #176: Lost Mammoth Valley pg. 85"
1,Common,Formian Worker,Formian,Medium,Pathfinder #173: Doorway to the Red Star pg. 82
1,Common,Giant Cockroach,Animal,Small,Bestiary 2 pg. 532.0
1,Common,Giant Fly,Animal,Medium,Bestiary 2 pg. 1202.0
1,Common,Giant Gecko,Animal,Medium,Bestiary pg. 228
1,Common,Giant Solifugid,Animal,Large,"Bestiary 2 pg. 2462.0 , Pathfinder #149: Against the Scarlet Triad pg. 89"
1,Common,Giant Tick,Animal,Small,Bestiary 2 pg. 2602.0
1,Common,Gourd Leshy,Leshy; Plant,Small,Bestiary pg. 218
1,Uncommon,Graveshell,Beast; Uncommon,Large,Pathfinder #145: Hellknight Hill pg. 89
1,Common,Grig,Fey; Sprite,Tiny,Bestiary pg. 308
1,Common,Grippli Scout,Grippli; Humanoid,Small,"Bestiary 2 pg. 1392.0 , Pathfinder #146: Cult of Cinders pg. 86"
1,Common,Guard,Human; Humanoid,Medium,Gamemastery Guide pg. 232
1,Common,Hobgoblin Soldier,Goblin; Humanoid,Medium,Bestiary pg. 206
1,Common,Hyena,Animal,Medium,Bestiary pg. 211
1,Common,Innkeeper,Human; Humanoid,Medium,Gamemastery Guide pg. 239
1,Common,Kaava Stalker,Humanoid,Small,The Mwangi Expanse pg. 3002.0
1,Unique,Kerrdremak,Humanoid; Kobold; Unique,Small,Crown of the Kobold King pg. 54
1,Common,Lantern Archon,Archon; Celestial,Small,Bestiary pg. 26
1,Common,Morlock Scavenger,Humanoid; Morlock,Small,Pathfinder #163: Ruins of Gauntlight pg. 84
1,Common,Naiad,Amphibious; Fey; Nymph; Water,Medium,Bestiary pg. 246
1,Unique,Nishkiv The Knife,Human; Humanoid; Unique,Medium,Kingmaker Adventure Path pg. 37
1,Common,Oread Guard,Human; Humanoid; Oread,Medium,Bestiary 2 pg. 2012.0
1,Common,Pickled Punk,Undead,Tiny,Pathfinder #157: Devil at the Dreaming Palace pg. 59
1,Common,Reef Octopus,Animal; Aquatic,Small,Bestiary 2 pg. 1872.0
1,Common,Riding Dog,Animal,Medium,Bestiary pg. 102
1,Uncommon,Scrabbling Ribcage,Construct; Mindless; Uncommon,Small,Pathfinder #181: Zombie Feast pg. 83
1,Common,Silvanshee,Agathion; Celestial,Tiny,Bestiary 3 pg. 10
1,Common,Skinskitter,Aberration; Amphibious; Mindless,Small,Impossible Lands pg. 329
1,Common,Sunflower Leshy,Leshy; Plant,Small,Bestiary 2 pg. 1602.0
1,Unique,Svetlana,Human; Humanoid; Unique,Medium,Kingmaker Adventure Path pg. 53
1,Common,Velociraptor,Animal; Dinosaur,Small,Bestiary pg. 96
1,Common,War Pony,Animal,Medium,Bestiary pg. 209
1,Unique,Warbal Bumblebrasher,Goblin; Humanoid; Unique,Small,Pathfinder #145: Hellknight Hill pg. 83
1,Unique,Ekundayo (Level 1),Human; Humanoid; Unique,Medium,Kingmaker Companion Guide pg. 21
1,Common,Giant Skunk,Animal,Large,Bestiary 3 pg. 246
1,Unique,Kalaggi Nakutu,Human; Humanoid; Unique,Medium,Threshold of Knowledge pg. 12
1,Common,Lizardfolk Defender,Humanoid; Lizardfolk,Medium,Bestiary pg. 230
1,Common,Skulk,Humanoid; Skulk,Medium,Bestiary 2 pg. 2432.0
1,Unique,Valerie (Level 1),Human; Humanoid; Unique,Medium,Kingmaker Companion Guide pg. 83
1,Common,Xulgath Warrior,Humanoid; Xulgath,Medium,Bestiary pg. 336
1,Unique,Amiri (Level 1),Human; Humanoid; Unique,Medium,Kingmaker Companion Guide pg. 7
1,Common,Arbiter,Aeon; Inevitable; Monitor,Tiny,Bestiary pg. 8
1,Common,Cacodaemon,Daemon; Fiend,Tiny,Bestiary pg. 70
1,Common,Gravedigger,Human; Humanoid,Medium,Gamemastery Guide pg. 223
1,Unique,Kressle,Human; Humanoid; Unique,Medium,Kingmaker Adventure Path pg. 170
1,Common,Petitioner,Petitioner,Medium,Bestiary 2 pg. 1982.0
1,Common,Riding Horse,Animal,Large,Bestiary pg. 209
1,Common,Shaukeen,Asura; Fiend,Tiny,Bestiary 3 pg. 22
1,Common,Orc Warrior,Humanoid; Orc,Medium,Bestiary pg. 257
1,Common,Boggard Scout,Amphibious; Boggard; Humanoid,Medium,Bestiary pg. 44
1,Common,Hippocampus,Animal; Aquatic,Large,Bestiary 2 pg. 1422.0
1,Common,Manta Ray,Animal; Aquatic,Large,Bestiary 2 pg. 2262.0
1,Common,Sarkorian Wolf,Animal,Medium,Travel Guide pg. 99
1,Common,Vexgit,Fey; Gremlin,Tiny,Bestiary 2 pg. 1342.0
1,Unique,Violet,Animal; Unique,Small,Pathfinder #151: The Show Must Go On pg. 22
1,Common,Wolf,Animal,Medium,Bestiary pg. 334
1,Common,Barkeep,Human; Humanoid,Medium,Gamemastery Guide pg. 238
1,Common,Bodyguard,Human; Humanoid,Medium,Gamemastery Guide pg. 226
1,Common,Brownie,Fey,Tiny,Bestiary 2 pg. 442.0
1,Uncommon,Crooked Coffin Brewer,Human; Humanoid; Uncommon,Medium,Pathfinder #181: Zombie Feast pg. 55
1,Unique,Dingetooth,Fey; Gremlin; Unique,Small,Kingmaker Adventure Path pg. 121
1,Uncommon,Loblobi,Fey; Uncommon,Small,Pathfinder #175: Broken Tusk Moon pg. 85
1,Common,Lyrakien,Azata; Celestial,Tiny,Bestiary pg. 30
1,Common,Nixie,Aquatic; Fey,Small,Bestiary 2 pg. 1832.0
1,Common,Quasit,Demon; Fiend,Tiny,Bestiary pg. 76
1,Rare,Sallowdrudge,Human; Humanoid; Rare,Medium,Pathfinder #182: Graveclaw pg. 30
1,Common,Shikigami,Kami; Spirit,Tiny,Bestiary 3 pg. 142
1,Uncommon,Temagyr,Fey; Uncommon,Medium,Pathfinder #187: The Seventh Arch pg. 86
1,Uncommon,Tombstone Troll,Giant; Troll; Uncommon,Small,Pathfinder #181: Zombie Feast pg. 88
1,Common,Yzobu,Animal,Large,Bestiary 3 pg. 300
1,Unique,Oleg,Human; Humanoid; Unique,Medium,Kingmaker Adventure Path pg. 52
1,Unique,Jaleen,Human; Humanoid; Unique,Medium,Pathfinder #151: The Show Must Go On pg. 9
1,Unique,Rhovo,Human; Humanoid; Unique,Medium,Pathfinder #151: The Show Must Go On pg. 9
1,Common,Giant Frog,Animal,Medium,Bestiary 2 pg. 1212.0
1,Common,Ostovite,Fiend,Small,Bestiary 3 pg. 193
1,Common,Amoeba Swarm,Amphibious; Mindless; Ooze; Swarm,Large,Bestiary 2 pg. 1922.0
1,Rare,Rime Sludge,Mindless; Ooze; Rare,Medium,Pathfinder #175: Broken Tusk Moon pg. 86
1,Common,Sewer Ooze,Mindless; Ooze,Medium,Bestiary pg. 254
1,Common,Giant Amoeba,Amphibious; Mindless; Ooze,Small,Bestiary 2 pg. 1922.0
1,Unique,Jewel,Animal; Minion; Unique,Tiny,Kingmaker Adventure Path pg. 313
1,Common,Air Mephit,Air; Elemental,Small,Bestiary pg. 150
1,Common,Voidworm,Monitor; Protean,Tiny,Bestiary pg. 266
1,Uncommon,Dust Mephit,Air; Earth; Elemental; Uncommon,Small,Bestiary 2 pg. 1122.0
1,Common,Fire Mephit,Elemental; Fire,Small,Bestiary pg. 151
1,Common,Skeletal Soldier,Mindless; Skeleton; Undead,Medium,Book of the Dead pg. 147
1,Uncommon,Ice Mephit,Air; Elemental; Uncommon; Water,Small,Bestiary 2 pg. 1122.0
1,Common,Festering Gnasher,Undead,Tiny,Book of the Dead pg. 74
1,Common,Caligni Dancer,Caligni; Humanoid,Small,Bestiary pg. 50
1,Uncommon,Steam Mephit,Elemental; Fire; Uncommon; Water,Small,Bestiary 2 pg. 1132.0
1,Common,Earth Mephit,Earth; Elemental,Small,Bestiary pg. 150
1,Common,Water Mephit,Aquatic; Elemental; Water,Small,Bestiary pg. 151
1,Common,Ghoul,Ghoul; Undead,Medium,Bestiary pg. 169
1,Uncommon,Hellcrown,Uncommon; Undead,Tiny,Pathfinder #145: Hellknight Hill pg. 90
1,Rare,Shadern Immolator,Fire; Goblin; Humanoid; Mortic; Rare,Small,Book of the Dead pg. 126
1,Common,Scorned Hound,Undead,Small,Book of the Dead pg. 142
1,Uncommon,Ooze Mephit,Earth; Elemental; Uncommon; Water,Small,Bestiary 2 pg. 1132.0
1,Common,Festrog,Undead,Medium,Bestiary 3 pg. 98
1,Rare,Void Zombie,Rare; Undead,Medium,Bestiary 2 pg. 2882.0
1,Common,Plague Zombie,Mindless; Undead; Zombie,Medium,Bestiary pg. 340
1,Uncommon,Zombie Horse,Mindless; Uncommon; Undead; Zombie,Large,Pathfinder #181: Zombie Feast pg. 16
2,Uncommon,Flickerwisp,Aberration; Air; Uncommon,Small,Pathfinder #163: Ruins of Gauntlight pg. 83
2,Common,Spark Bat,Air; Elemental,Tiny,Bestiary 2 pg. 1062.0
2,Common,Animated Armor,Construct; Mindless,Medium,Bestiary pg. 20
2,Common,Cobbleswarm,Aberration; Earth; Swarm,Large,"Bestiary 3 pg. 52, Pathfinder #157: Devil at the Dreaming Palace pg. 83"
